business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_type,risk_category,neighborhoods,inspection_year,inspection_month,inspection_day
17947,94121,37.780278,-122.482311,87,103144,4,1,8,2019,6,18
30532,94124,37.730959,-122.39194,78,103103,2,3,86,2019,9,25
786,94111,37.800674,-122.401484,90,103130,3,2,77,2019,9,6
63503,94102,37.784094,-122.409274,96,103154,1,1,20,2018,6,4
1300,94110,37.755824,-122.420986,74,103154,1,1,53,2017,10,5
4608,94108,37.795594,-122.408204,94,103154,1,1,104,2017,8,1
1742,94102,37.780916,-122.414312,83,103150,3,1,21,2017,2,14
34411,94105,37.787808,-122.390703,98,103139,2,1,30,2019,9,13
4844,94116,37.743191,-122.473903,94,103120,2,2,44,2017,8,29
786,94111,37.800674,-122.401484,96,103150,3,1,77,2019,2,15
985,94116,37.742048,-122.499002,75,103133,1,2,39,2018,9,24
58745,94107,37.776109,-122.398082,85,103109,1,3,32,2017,1,12
2919,94104,37.792888,-122.403135,94,103150,3,1,108,2019,5,1
3006,94104,37.791275,-122.40201,90,103120,2,2,108,2017,10,26
557,94118,37.77721,-122.462874,83,103109,1,3,5,2018,9,5
6677,94112,37.720524,-122.430562,94,103150,3,1,90,2017,7,11
1664,94103,37.784317,-122.407563,96,103124,1,2,32,2019,8,22
3796,94102,37.786314,-122.408697,90,103148,3,1,19,2017,4,17
61514,94103,37.767907,-122.415584,88,103119,3,2,53,2018,4,25
6739,94133,37.796303,-122.408354,86,103119,3,2,104,2016,12,20
5267,94124,37.741939,-122.383872,96,103145,2,1,76,2019,7,17
1582,94104,37.790102,-122.401158,79,103105,2,3,108,2017,11,28
32671,94110,37.752512,-122.415109,75,103133,1,2,53,2018,5,8
58922,94112,37.714324,-122.436512,94,103149,1,1,58,2017,9,13
3165,94121,37.776599,-122.478292,83,103144,4,1,8,2018,11,27
33160,94158,37.770518,-122.386525,94,103120,2,2,34,2016,12,5
2145,94107,37.778657,-122.397009,87,103153,2,1,32,2018,5,17
8948,94103,37.784858,-122.407764,88,103144,4,1,19,2018,2,8
2334,94110,37.755693,-122.40665,81,103157,4,1,53,2019,5,9
57698,94108,37.790055,-122.403915,87,103161,1,1,19,2019,8,29
943,94114,37.768776,-122.429095,76,103119,3,2,28,2018,4,26
4874,94110,37.752118,-122.422914,88,103142,1,1,52,2017,8,15
59577,94103,37.784848,-122.406892,73,103105,2,3,32,2019,2,6
884,94133,37.796463,-122.405224,83,103139,2,1,104,2016,10,5
2336,94109,37.790645,-122.420765,86,103125,2,2,105,2018,2,27
1426,94112,37.726117,-122.433817,70,103121,2,2,94,2016,10,26
5144,94117,37.774873,-122.437804,90,103150,3,1,24,2017,6,1
38798,94127,37.731503,-122.45237,94,103150,3,1,95,2017,9,28
5838,94114,37.759173,-122.436488,93,103112,3,3,115,2019,9,25
488,94133,37.798519,-122.407071,92,103119,3,2,106,2018,1,16
3838,94103,37.764908,-122.422442,72,103154,1,1,37,2018,2,22
59988,94117,37.771987,-122.437147,84,103133,1,2,26,2019,4,24
64667,94110,37.763156,-122.410351,92,103124,1,2,53,2019,9,10
60331,94107,37.762647,-122.397545,71,103142,1,1,54,2017,1,24
39776,94110,37.761637,-122.419385,65,103142,1,1,53,2019,4,22
5124,94109,37.786477,-122.415454,96,103156,4,1,50,2017,10,12
64076,94110,37.762789,-122.419495,86,103154,1,1,53,2017,11,6
2519,94109,37.786864,-122.423218,90,103139,2,1,100,2019,7,9
63121,94133,37.799697,-122.407614,86,103161,1,1,106,2019,6,5
4416,94133,37.804685,-122.412971,94,103145,2,1,106,2017,10,12
63653,94102,37.788918,-122.408507,83,103105,2,3,19,2019,9,4
32625,94118,37.780712,-122.4687,94,103120,2,2,5,2019,4,25
2426,94110,37.755357,-122.420652,89,103105,2,3,53,2018,5,8
2234,94108,37.795118,-122.407083,72,103120,2,2,104,2019,1,7
1075,94110,37.764384,-122.419566,94,103119,3,2,53,2019,9,26
63121,94133,37.799697,-122.407614,81,103103,2,3,106,2018,6,11
2854,94103,37.784548,-122.40419,88,103120,2,2,32,2019,3,13
13218,94107,37.782504,-122.392843,85,103131,1,2,31,2017,8,29
792,94133,37.791924,-122.398588,96,103144,4,1,108,2019,6,26
38072,94121,37.783984,-122.481969,73,103120,2,2,8,2018,9,25
7645,94110,37.754513,-122.418626,90,103139,2,1,53,2016,12,30
33442,94109,37.792784,-122.421164,87,103145,2,1,105,2018,1,31
999,94110,37.756997,-122.420534,77,103142,1,1,53,2017,7,14
63413,94109,37.790798,-122.419214,94,103143,3,1,105,2017,2,2
35805,94121,37.782008,-122.485732,83,103120,2,2,8,2019,6,19
61285,94132,37.728497,-122.475639,91,103103,2,3,41,2019,3,22
1243,94110,37.759934,-122.423553,87,103114,1,3,37,2017,10,12
3495,94102,37.788134,-122.411817,90,103162,1,1,50,2019,6,26
2893,94110,37.756417,-122.418884,86,103161,1,1,53,2017,9,19
2233,94108,37.795564,-122.40809,81,103119,3,2,104,2019,7,8
827,94112,37.721251,-122.437385,84,103109,1,3,90,2017,3,2
37688,94107,37.781127,-122.400109,94,103154,1,1,32,2019,6,4
3858,94105,37.786944,-122.399199,92,103148,3,1,32,2018,5,1
7661,94110,37.757578,-122.410392,92,103142,1,1,53,2017,7,19
57630,94123,37.799048,-122.435353,96,103156,4,1,15,2018,2,9
2836,94133,37.80824,-122.410189,92,103145,2,1,99,2018,6,12
3267,94132,37.728497,-122.475639,83,103144,4,1,41,2018,5,10
403,94103,37.784317,-122.407563,94,103124,1,2,32,2018,4,30
